,current_state,lemma,lemma_input_entities,interest_score
101,"('(c*(b+c))=((c*b)+(c*c))', '(c*c)=(c^2)', '(c*(b+c))=((c*b)+(c^2))', '((c*b)+f)=(c*b)')",AdditionSimplification,"('(c*(b+c))',)",6
102,"('(c*(b+c))=((c*b)+(c*c))', '(c*c)=(c^2)', '(c*(b+c))=((c*b)+(c^2))', '0=((c*(b+c))+(-(c*(b+c))))', '((c*b)+f)=(c*b)')",EquivalenceSubstitution,"('(c*(b+c))', '((c*b)+(c^2))')",6
103,"('(c*(b+c))=((c*b)+(c*c))', '(c*c)=(c^2)', '(c*(b+c))=((c*b)+(c^2))', '0=((c*(b+c))+(-(c*(b+c))))', '0=((c*(b+c))+(-((c*b)+(c^2))))', '((c*b)+f)=(c*b)')",PrincipleOfEquality,"('0', '((c*(b+c))+(-((c*b)+(c^2))))', '((c*b)+f)', '(c*b)')",6
104,"('(c*(b+c))=((c*b)+(c*c))', '(c*c)=(c^2)', '(c*(b+c))=((c*b)+(c^2))', '0=((c*(b+c))+(-(c*(b+c))))', '0=((c*(b+c))+(-((c*b)+(c^2))))', '((c*b)+f)=(c*b)', '(0+((c*b)+f))=(((c*(b+c))+(-((c*b)+(c^2))))+(c*b))')",AdditionCommutativity,"('((c*(b+c))+(-((c*b)+(c^2))))', '(c*b)')",6
105,"('(c*(b+c))=((c*b)+(c*c))', '(c*c)=(c^2)', '(c*(b+c))=((c*b)+(c^2))', '0=((c*(b+c))+(-(c*(b+c))))', '0=((c*(b+c))+(-((c*b)+(c^2))))', '((c*b)+f)=(c*b)', '(0+((c*b)+f))=(((c*(b+c))+(-((c*b)+(c^2))))+(c*b))', '(((c*(b+c))+(-((c*b)+(c^2))))+(c*b))=((c*b)+((c*(b+c))+(-((c*b)+(c^2)))))')",EquivalenceSubstitution,"('(((c*(b+c))+(-((c*b)+(c^2))))+(c*b))', '((c*b)+((c*(b+c))+(-((c*b)+(c^2)))))')",6
106,(),AdditionMultiplicationRightDistribution,"('a', 'a', 'a')",6
107,"('(a*(a+a))=((a*a)+(a*a))',)",MultiplicationOne,"('(a*(a+a))', '1')",6
108,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)')",EquivalenceSubstitution,"('(a*(a+a))', '((a*a)+(a*a))')",6
109,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)', '((a*a)+(a*a))=((a*(a+a))*1)')",AdditionSimplification,"('((a*a)+(a*a))',)",6
110,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)', '((a*a)+(a*a))=((a*(a+a))*1)', '0=(((a*a)+(a*a))+(-((a*a)+(a*a))))')",EquivalenceSubstitution,"('((a*a)+(a*a))', '((a*(a+a))*1)')",6
111,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)', '((a*a)+(a*a))=((a*(a+a))*1)', '0=(((a*a)+(a*a))+(-((a*a)+(a*a))))', '0=(((a*a)+(a*a))+(-((a*(a+a))*1)))')",SquareDefinition,"('a',)",6
112,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)', '((a*a)+(a*a))=((a*(a+a))*1)', '0=(((a*a)+(a*a))+(-((a*a)+(a*a))))', '0=(((a*a)+(a*a))+(-((a*(a+a))*1)))', '(a*a)=(a^2)')",EquivalenceSubstitution,"('(a*a)', '(a^2)')",6
113,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)', '((a*a)+(a*a))=((a*(a+a))*1)', '0=(((a*a)+(a*a))+(-((a*a)+(a*a))))', '0=(((a*a)+(a*a))+(-((a*(a+a))*1)))', '(a*a)=(a^2)', '0=(((a*a)+(a^2))+(-((a*(a+a))*1)))')",AdditionAssociativity,"('0', '(a^2)', '(a*a)')",6
114,"('(a*(a+a))=((a*a)+(a*a))', '(a*(a+a))=((a*(a+a))*1)', '((a*a)+(a*a))=((a*(a+a))*1)', '0=(((a*a)+(a*a))+(-((a*a)+(a*a))))', '0=(((a*a)+(a*a))+(-((a*(a+a))*1)))', '(a*a)=(a^2)', '0=(((a*a)+(a^2))+(-((a*(a+a))*1)))', '(0+((a^2)+(a*a)))=((0+(a^2))+(a*a))')",EquivalenceSubstitution,"('0', '(((a*a)+(a^2))+(-((a*(a+a))*1)))')",6
115,"('(c+f)=a',)",MultiplicationAssociativity,"('b', 'a', 'a')",6
116,"('(b*(a*a))=((b*a)*a)', '(c+f)=a')",PrincipleOfEquality,"('(b*(a*a))', '((b*a)*a)', '(c+f)', 'a')",6
117,"('(b*(a*a))=((b*a)*a)', '(c+f)=a', '((b*(a*a))+(c+f))=(((b*a)*a)+a)')",AdditionMultiplicationLeftDistribution,"('(b*a)', '((b*(a*a))+(c+f))', 'a')",6
118,"('(b*(a*a))=((b*a)*a)', '(c+f)=a', '((b*(a*a))+(c+f))=(((b*a)*a)+a)', '((((b*(a*a))+(c+f))+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))')",EquivalenceSubstitution,"('((b*(a*a))+(c+f))', '(((b*a)*a)+a)')",6
119,"('(b*(a*a))=((b*a)*a)', '(c+f)=a', '((b*(a*a))+(c+f))=(((b*a)*a)+a)', '((((b*(a*a))+(c+f))+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))')",AdditionZero,"('(((((b*a)*a)+a)+a)*(b*a))', '0')",6
120,"('(b*(a*a))=((b*a)*a)', '(c+f)=a', '((b*(a*a))+(c+f))=(((b*a)*a)+a)', '((((b*(a*a))+(c+f))+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((((b*a)*a)+a)+a)*(b*a))+0)')",EquivalenceSubstitution,"('(((((b*a)*a)+a)+a)*(b*a))', '((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))')",6
121,"('(b*(a*a))=((b*a)*a)', '(c+f)=a', '((b*(a*a))+(c+f))=(((b*a)*a)+a)', '((((b*(a*a))+(c+f))+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((((b*a)*a)+a)+a)*(b*a))+0)', '((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))=((((((b*a)*a)+a)+a)*(b*a))+0)')",MultiplicationOne,"('1', '((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))')",6
122,"('(b*(a*a))=((b*a)*a)', '(c+f)=a', '((b*(a*a))+(c+f))=(((b*a)*a)+a)', '((((b*(a*a))+(c+f))+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '(((((b*a)*a)+a)+a)*(b*a))=((((((b*a)*a)+a)+a)*(b*a))+0)', '((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))=((((((b*a)*a)+a)+a)*(b*a))+0)', '((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))=(1*((((b*(a*a))+(c+f))*(b*a))+(a*(b*a))))')",EquivalenceSubstitution,"('((((b*(a*a))+(c+f))*(b*a))+(a*(b*a)))', '((((((b*a)*a)+a)+a)*(b*a))+0)')",6
123,"('(a+f)=c',)",PrincipleOfEquality,"('a', 'a', '(a+f)', 'c')",8
124,"('(a+f)=c', '(a+(a+f))=(a+c)')",AdditionMultiplicationLeftDistribution,"('f', 'b', '(a+(a+f))')",8
125,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))')",EquivalenceSubstitution,"('(a+(a+f))', '(a+c)')",8
126,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))', '((b+(a+c))*f)=((b*f)+((a+(a+f))*f))')",AdditionMultiplicationRightDistribution,"('((b+(a+c))*f)', 'f', 'a')",8
127,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))', '((b+(a+c))*f)=((b*f)+((a+(a+f))*f))', '(((b+(a+c))*f)*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))')",EquivalenceSubstitution,"('((b+(a+c))*f)', '((b*f)+((a+(a+f))*f))')",8
128,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))', '((b+(a+c))*f)=((b*f)+((a+(a+f))*f))', '(((b+(a+c))*f)*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '(((b*f)+((a+(a+f))*f))*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))')",AdditionSimplification,"('(((b*f)+((a+(a+f))*f))*(f+a))',)",8
129,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))', '((b+(a+c))*f)=((b*f)+((a+(a+f))*f))', '(((b+(a+c))*f)*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '(((b*f)+((a+(a+f))*f))*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '0=((((b*f)+((a+(a+f))*f))*(f+a))+(-(((b*f)+((a+(a+f))*f))*(f+a))))')",EquivalenceSubstitution,"('(((b*f)+((a+(a+f))*f))*(f+a))', '((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))')",8
130,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))', '((b+(a+c))*f)=((b*f)+((a+(a+f))*f))', '(((b+(a+c))*f)*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '(((b*f)+((a+(a+f))*f))*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '0=((((b*f)+((a+(a+f))*f))*(f+a))+(-(((b*f)+((a+(a+f))*f))*(f+a))))', '0=((((b*f)+((a+(a+f))*f))*(f+a))+(-((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))))')",MultiplicationCommutativity,"('((b+(a+c))*f)', 'f')",8
131,"('(a+f)=c', '(a+(a+f))=(a+c)', '((b+(a+(a+f)))*f)=((b*f)+((a+(a+f))*f))', '((b+(a+c))*f)=((b*f)+((a+(a+f))*f))', '(((b+(a+c))*f)*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '(((b*f)+((a+(a+f))*f))*(f+a))=((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))', '0=((((b*f)+((a+(a+f))*f))*(f+a))+(-(((b*f)+((a+(a+f))*f))*(f+a))))', '0=((((b*f)+((a+(a+f))*f))*(f+a))+(-((((b+(a+c))*f)*f)+(((b+(a+c))*f)*a))))', '(((b+(a+c))*f)*f)=(f*((b+(a+c))*f))')",EquivalenceSubstitution,"('(((b+(a+c))*f)*f)', '(f*((b+(a+c))*f))')",8
132,(),AdditionZero,"('0', 'c')",8
133,"('c=(0+c)',)",AdditionMultiplicationLeftDistribution,"('c', '0', '(0+c)')",8
134,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))')",EquivalenceSubstitution,"('c', '(0+c)')",8
135,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))', '((0+(0+c))*(0+c))=((0*c)+((0+c)*c))')",AdditionSimplification,"('((0+(0+c))*(0+c))',)",8
136,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))', '((0+(0+c))*(0+c))=((0*c)+((0+c)*c))', '0=(((0+(0+c))*(0+c))+(-((0+(0+c))*(0+c))))')",EquivalenceSubstitution,"('((0+(0+c))*(0+c))', '((0*c)+((0+c)*c))')",8
137,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))', '((0+(0+c))*(0+c))=((0*c)+((0+c)*c))', '0=(((0+(0+c))*(0+c))+(-((0+(0+c))*(0+c))))', '0=(((0+(0+c))*(0+c))+(-((0*c)+((0+c)*c))))')",MultiplicationCommutativity,"('(0+(0+c))', '(0+c)')",8
138,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))', '((0+(0+c))*(0+c))=((0*c)+((0+c)*c))', '0=(((0+(0+c))*(0+c))+(-((0+(0+c))*(0+c))))', '0=(((0+(0+c))*(0+c))+(-((0*c)+((0+c)*c))))', '((0+(0+c))*(0+c))=((0+c)*(0+(0+c)))')",EquivalenceSubstitution,"('((0+(0+c))*(0+c))', '((0+c)*(0+(0+c)))')",8
139,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))', '((0+(0+c))*(0+c))=((0*c)+((0+c)*c))', '0=(((0+(0+c))*(0+c))+(-((0+(0+c))*(0+c))))', '0=(((0+(0+c))*(0+c))+(-((0*c)+((0+c)*c))))', '((0+(0+c))*(0+c))=((0+c)*(0+(0+c)))', '0=(((0+c)*(0+(0+c)))+(-((0*c)+((0+c)*c))))')",SquareDefinition,"('0',)",8
140,"('c=(0+c)', '((0+(0+c))*c)=((0*c)+((0+c)*c))', '((0+(0+c))*(0+c))=((0*c)+((0+c)*c))', '0=(((0+(0+c))*(0+c))+(-((0+(0+c))*(0+c))))', '0=(((0+(0+c))*(0+c))+(-((0*c)+((0+c)*c))))', '((0+(0+c))*(0+c))=((0+c)*(0+(0+c)))', '0=(((0+c)*(0+(0+c)))+(-((0*c)+((0+c)*c))))', '(0*0)=(0^2)')",EquivalenceSubstitution,"('0', '(((0+c)*(0+(0+c)))+(-((0*c)+((0+c)*c))))')",8
141,"('(0+f)=c',)",AdditionZero,"('a', '0')",6
142,"('a=(a+0)', '(0+f)=c')",MultiplicationCommutativity,"('a', 'b')",6
143,"('a=(a+0)', '(a*b)=(b*a)', '(0+f)=c')",EquivalenceSubstitution,"('a', '(a+0)')",6
144,"('a=(a+0)', '(a*b)=(b*a)', '((a+0)*b)=(b*a)', '(0+f)=c')",PrincipleOfEquality,"('((a+0)*b)', '(b*a)', '(0+f)', 'c')",6
145,"('a=(a+0)', '(a*b)=(b*a)', '((a+0)*b)=(b*a)', '(0+f)=c', '(((a+0)*b)+(0+f))=((b*a)+c)')",EquMoveTerm,"('((a+0)*b)', '(0+f)', '((b*a)+c)')",6
146,"('a=(a+0)', '(a*b)=(b*a)', '((a+0)*b)=(b*a)', '(0+f)=c', '(((a+0)*b)+(0+f))=((b*a)+c)', '((a+0)*b)=(((b*a)+c)+(-(0+f)))')",MultiplicationOne,"('1', '((a+0)*b)')",6
147,"('a=(a+0)', '(a*b)=(b*a)', '((a+0)*b)=(b*a)', '(0+f)=c', '(((a+0)*b)+(0+f))=((b*a)+c)', '((a+0)*b)=(((b*a)+c)+(-(0+f)))', '((a+0)*b)=(1*((a+0)*b))')",EquivalenceSubstitution,"('((a+0)*b)', '(((b*a)+c)+(-(0+f)))')",6
148,(),AdditionAssociativity,"('a', 'c', 'a')",8
149,"('(a+(c+a))=((a+c)+a)',)",AdditionMultiplicationLeftDistribution,"('(a+c)', '(a+(c+a))', 'b')",8
150,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))')",EquivalenceSubstitution,"('(a+(c+a))', '((a+c)+a)')",8
151,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '((((a+c)+a)+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))')",MultiplicationAssociativity,"('((((a+c)+a)+b)*(a+c))', 'a', 'c')",8
152,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '((((a+c)+a)+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '(((((a+c)+a)+b)*(a+c))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)')",EquivalenceSubstitution,"('((((a+c)+a)+b)*(a+c))', '(((a+(c+a))*(a+c))+(b*(a+c)))')",8
153,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '((((a+c)+a)+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '(((((a+c)+a)+b)*(a+c))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '((((a+(c+a))*(a+c))+(b*(a+c)))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)')",AdditionCommutativity,"('c', 'a')",8
154,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '((((a+c)+a)+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '(((((a+c)+a)+b)*(a+c))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '((((a+(c+a))*(a+c))+(b*(a+c)))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '(c+a)=(a+c)')",EquivalenceSubstitution,"('(c+a)', '(a+c)')",8
155,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '((((a+c)+a)+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '(((((a+c)+a)+b)*(a+c))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '((((a+(c+a))*(a+c))+(b*(a+c)))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '(c+a)=(a+c)', '((((a+(a+c))*(a+c))+(b*(a+c)))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)')",AdditionMultiplicationRightDistribution,"('(((a+c)+a)+b)', 'a', 'c')",8
156,"('(a+(c+a))=((a+c)+a)', '(((a+(c+a))+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '((((a+c)+a)+b)*(a+c))=(((a+(c+a))*(a+c))+(b*(a+c)))', '(((((a+c)+a)+b)*(a+c))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '((((a+(c+a))*(a+c))+(b*(a+c)))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '(c+a)=(a+c)', '((((a+(a+c))*(a+c))+(b*(a+c)))*(a*c))=((((((a+c)+a)+b)*(a+c))*a)*c)', '((((a+c)+a)+b)*(a+c))=(((((a+c)+a)+b)*a)+((((a+c)+a)+b)*c))')",EquivalenceSubstitution,"('((((a+c)+a)+b)*(a+c))', '(((((a+c)+a)+b)*a)+((((a+c)+a)+b)*c))')",8
157,(),AdditionAssociativity,"('c', 'b', 'c')",8
158,"('(c+(b+c))=((c+b)+c)',)",AdditionMultiplicationRightDistribution,"('b', 'b', '(c+(b+c))')",8
159,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))')",EquivalenceSubstitution,"('(c+(b+c))', '((c+b)+c)')",8
160,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=((b*b)+(b*(c+(b+c))))')",MultiplicationOne,"('1', '(b*(b+((c+b)+c)))')",8
161,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=(1*(b*(b+((c+b)+c))))')",EquivalenceSubstitution,"('(b*(b+((c+b)+c)))', '((b*b)+(b*(c+(b+c))))')",8
162,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=(1*(b*(b+((c+b)+c))))', '((b*b)+(b*(c+(b+c))))=(1*(b*(b+((c+b)+c))))')",AdditionMultiplicationLeftDistribution,"('b', 'c', '((b*b)+(b*(c+(b+c))))')",8
163,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=(1*(b*(b+((c+b)+c))))', '((b*b)+(b*(c+(b+c))))=(1*(b*(b+((c+b)+c))))', '((c+((b*b)+(b*(c+(b+c)))))*b)=((c*b)+(((b*b)+(b*(c+(b+c))))*b))')",EquivalenceSubstitution,"('((b*b)+(b*(c+(b+c))))', '(1*(b*(b+((c+b)+c))))')",8
164,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=(1*(b*(b+((c+b)+c))))', '((b*b)+(b*(c+(b+c))))=(1*(b*(b+((c+b)+c))))', '((c+((b*b)+(b*(c+(b+c)))))*b)=((c*b)+(((b*b)+(b*(c+(b+c))))*b))', '((c+(1*(b*(b+((c+b)+c)))))*b)=((c*b)+(((b*b)+(b*(c+(b+c))))*b))')",MultiplicationSimplification,"('((c+(1*(b*(b+((c+b)+c)))))*b)',)",8
165,"('(c+(b+c))=((c+b)+c)', '(b*(b+(c+(b+c))))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=((b*b)+(b*(c+(b+c))))', '(b*(b+((c+b)+c)))=(1*(b*(b+((c+b)+c))))', '((b*b)+(b*(c+(b+c))))=(1*(b*(b+((c+b)+c))))', '((c+((b*b)+(b*(c+(b+c)))))*b)=((c*b)+(((b*b)+(b*(c+(b+c))))*b))', '((c+(1*(b*(b+((c+b)+c)))))*b)=((c*b)+(((b*b)+(b*(c+(b+c))))*b))', '1=(((c+(1*(b*(b+((c+b)+c)))))*b)*(\\frac{1}{((c+(1*(b*(b+((c+b)+c)))))*b)}))')",EquivalenceSubstitution,"('((c+(1*(b*(b+((c+b)+c)))))*b)', '((c*b)+(((b*b)+(b*(c+(b+c))))*b))')",8
166,"('(0+f)=a',)",AdditionZero,"('a', '0')",6
167,"('a=(a+0)', '(0+f)=a')",PrincipleOfEquality,"('a', '(a+0)', '(0+f)', 'a')",6
168,"('a=(a+0)', '(0+f)=a', '(a+(0+f))=((a+0)+a)')",AdditionCommutativity,"('(a+0)', 'a')",6
169,"('a=(a+0)', '(0+f)=a', '(a+(0+f))=((a+0)+a)', '((a+0)+a)=(a+(a+0))')",EquivalenceSubstitution,"('((a+0)+a)', '(a+(a+0))')",6
170,"('a=(a+0)', '(0+f)=a', '(a+(0+f))=((a+0)+a)', '((a+0)+a)=(a+(a+0))', '(a+(0+f))=(a+(a+0))')",EquMoveTerm,"('a', '(0+f)', '(a+(a+0))')",6
171,"('a=(a+0)', '(0+f)=a', '(a+(0+f))=((a+0)+a)', '((a+0)+a)=(a+(a+0))', '(a+(0+f))=(a+(a+0))', 'a=((a+(a+0))+(-(0+f)))')",AdditionAssociativity,"('a', 'a', '0')",6
172,"('a=(a+0)', '(0+f)=a', '(a+(0+f))=((a+0)+a)', '((a+0)+a)=(a+(a+0))', '(a+(0+f))=(a+(a+0))', 'a=((a+(a+0))+(-(0+f)))', '(a+(a+0))=((a+a)+0)')",EquivalenceSubstitution,"('(a+(a+0))', '((a+a)+0)')",6
173,"('(c+f)=(b*a)',)",MultiplicationAssociativity,"('b', 'a', 'a')",8
174,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)')",PrincipleOfEquality,"('(b*(a*a))', '((b*a)*a)', '(c+f)', '(b*a)')",8
175,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)', '((b*(a*a))+(c+f))=(((b*a)*a)+(b*a))')",MultiplicationSimplification,"('((b*(a*a))+(c+f))',)",8
176,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)', '((b*(a*a))+(c+f))=(((b*a)*a)+(b*a))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{((b*(a*a))+(c+f))}))')",EquivalenceSubstitution,"('((b*(a*a))+(c+f))', '(((b*a)*a)+(b*a))')",8
177,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)', '((b*(a*a))+(c+f))=(((b*a)*a)+(b*a))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{((b*(a*a))+(c+f))}))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))')",AdditionZero,"('0', '1')",8
178,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)', '((b*(a*a))+(c+f))=(((b*a)*a)+(b*a))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{((b*(a*a))+(c+f))}))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))', '1=(0+1)')",EquivalenceSubstitution,"('1', '(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))')",8
179,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)', '((b*(a*a))+(c+f))=(((b*a)*a)+(b*a))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{((b*(a*a))+(c+f))}))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))', '1=(0+1)', '(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))=(0+1)')",AdditionMultiplicationRightDistribution,"('(b*a)', '(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))', '1')",8
180,"('(b*(a*a))=((b*a)*a)', '(c+f)=(b*a)', '((b*(a*a))+(c+f))=(((b*a)*a)+(b*a))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{((b*(a*a))+(c+f))}))', '1=(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))', '1=(0+1)', '(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))=(0+1)', '((b*a)*((((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))+1))=(((b*a)*(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))})))+((b*a)*1))')",EquivalenceSubstitution,"('(((b*(a*a))+(c+f))*(\\frac{1}{(((b*a)*a)+(b*a))}))', '(0+1)')",8
181,(),AdditionZero,"('0', 'c')",8
182,"('c=(0+c)',)",MultiplicationOne,"('c', '1')",8
183,"('c=(0+c)', 'c=(c*1)')",EquivalenceSubstitution,"('c', '(0+c)')",8
184,"('c=(0+c)', 'c=(c*1)', '(0+c)=(c*1)')",AdditionCommutativity,"('0', 'c')",8
185,"('c=(0+c)', 'c=(c*1)', '(0+c)=(c*1)', '(0+c)=(c+0)')",EquivalenceSubstitution,"('(0+c)', '(c+0)')",8
186,"('c=(0+c)', 'c=(c*1)', '(0+c)=(c*1)', '(0+c)=(c+0)', '(c+0)=(c*1)')",SquareDefinition,"('(c+0)',)",8
187,"('c=(0+c)', 'c=(c*1)', '(0+c)=(c*1)', '(0+c)=(c+0)', '(c+0)=(c*1)', '((c+0)*(c+0))=((c+0)^2)')",EquivalenceSubstitution,"('(c+0)', '(c*1)')",8
